iter	RMSEWithUncertainty
0	1.519845407
1	1.490803355
2	1.46662907
3	1.44652498
4	1.427927793
5	1.409751902
6	1.392882452
7	1.377522514
8	1.36291292
9	1.348977374
10	1.335608356
11	1.322393989
12	1.310105132
13	1.29799009
14	1.285674615
15	1.274015119
16	1.262415553
17	1.250804799
18	1.239845092
19	1.229958833
20	1.219923351
21	1.209958352
22	1.200267664
23	1.190680058
24	1.181274409
25	1.171083025
26	1.1616585
27	1.153078792
28	1.144378062
29	1.136525519
30	1.128131317
31	1.11862561
32	1.111048699
33	1.101130157
34	1.093740128
35	1.085868253
36	1.078985025
37	1.0720747
38	1.065640596
39	1.059266769
40	1.052115744
41	1.044724107
42	1.038454759
43	1.032149296
44	1.023019277
45	1.016678643
46	1.009661859
47	1.003643161
48	0.9983320735
49	0.9912548605
50	0.985113646
51	0.9786938945
52	0.9732881185
53	0.9651849304
54	0.9599293017
55	0.9554515066
56	0.9510921773
57	0.9457063741
58	0.9405023009
59	0.9341370463
60	0.9293484332
61	0.9251256734
62	0.9210662466
63	0.9159013505
64	0.9116315504
65	0.9071201933
66	0.9026631372
67	0.8990389855
68	0.8935491653
69	0.8892791084
70	0.8846075246
71	0.8809848192
72	0.877187936
73	0.8719838947
74	0.8672063938
75	0.8642434141
76	0.8612486286
77	0.8581239072
78	0.8536020066
79	0.8490046533
80	0.8451345831
81	0.8400703601
82	0.8370408454
83	0.8344342932
84	0.8312027681
85	0.8280730493
86	0.8241029438
87	0.8216609524
88	0.8188973985
89	0.8158443474
90	0.8130036962
91	0.8092689462
92	0.805372451
93	0.802493042
94	0.7997905807
95	0.7974374689
96	0.7952940886
97	0.7927569463
98	0.7903047115
99	0.7860556957
100	0.7838502948
101	0.7808509913
102	0.7778944378
103	0.7758877136
104	0.772485299
105	0.7699294702
106	0.7683737556
107	0.765711693
108	0.7633455493
109	0.7610793911
110	0.7592312965
111	0.7569064542
112	0.7553720507
113	0.751640915
114	0.7496897497
115	0.7482034105
116	0.7453634332
117	0.7412881122
118	0.7393882711
119	0.7378205213
120	0.7341250443
121	0.7304035774
122	0.7292513445
123	0.7263441005
124	0.724602032
125	0.7226461861
126	0.7199356332
127	0.7182653474
128	0.7170606039
129	0.7151832299
130	0.7138285451
131	0.7121657178
132	0.708555041
133	0.7062505069
134	0.7045018239
135	0.702558589
136	0.7010628264
137	0.699389304
138	0.6974024066
139	0.6961002454
140	0.6940462215
141	0.6926372958
142	0.6914424082
143	0.6900375238
144	0.6887666532
145	0.6872947059
146	0.6856595384
147	0.6845993823
148	0.6829765428
149	0.6813046332
150	0.6803748622
151	0.6779169827
152	0.6767394552
153	0.675399745
154	0.6744834847
155	0.6727135779
156	0.6700799743
157	0.6687034612
158	0.6665124996
159	0.6653000689
160	0.6631257386
161	0.6610519094
162	0.6596481496
163	0.6586847092
164	0.6566749177
165	0.6553289004
166	0.6529469723
167	0.6513196772
168	0.6504240008
169	0.6489706692
170	0.6476648
171	0.646720417
172	0.6448841091
173	0.6423582
174	0.6408674414
175	0.6393900279
176	0.6375612147
177	0.6363211556
178	0.6353923716
179	0.6343650892
180	0.6335214654
181	0.632441212
182	0.6316044372
183	0.6308504758
184	0.6290545052
185	0.6279269711
186	0.6269149462
187	0.6258971737
188	0.6245890795
189	0.6233383753
190	0.6218818002
191	0.6202745546
192	0.6187370025
193	0.6168464737
194	0.6158888961
195	0.615071825
196	0.6135841118
197	0.6123033004
198	0.610473163
199	0.6093965418
200	0.6075424488
201	0.6067480392
202	0.6059627313
203	0.6047009075
204	0.6033467725
205	0.6018530603
206	0.6009335987
207	0.5996138497
208	0.5982636259
209	0.597327934
210	0.5965397592
211	0.5948121169
212	0.5935700825
213	0.5926707273
214	0.5918418281
215	0.5903609596
216	0.5897538582
217	0.5883633808
218	0.5867137571
219	0.5858766893
220	0.5839632104
221	0.5829914112
222	0.581666369
223	0.5806456831
224	0.5785255491
225	0.5772203883
226	0.5762424348
227	0.575272668
228	0.5741168368
229	0.5729991873
230	0.5713922318
231	0.5700193414
232	0.5690128706
233	0.5681462035
234	0.5675160338
235	0.5667950982
236	0.5658818497
237	0.5651186288
238	0.5644687747
239	0.563832026
240	0.5633005841
241	0.5622128992
242	0.5609096103
243	0.5598923113
244	0.5587658443
245	0.5575213877
246	0.5560299239
247	0.5553670808
248	0.5545555593
249	0.5536301578
250	0.5524459139
251	0.5519710264
252	0.5510205474
253	0.5501099698
254	0.5490059047
255	0.5480449246
256	0.5474259585
257	0.5464506928
258	0.5456781594
259	0.5447508804
260	0.5433579519
261	0.5418213544
262	0.5411418405
263	0.5394451645
264	0.5386431667
265	0.5377389249
266	0.5372597336
267	0.5357487408
268	0.5352392904
269	0.5334649994
270	0.5324874885
271	0.531899571
272	0.5311092988
273	0.5296162364
274	0.5283753741
275	0.5268583977
276	0.5263000023
277	0.5254786319
278	0.5246527128
279	0.5238625962
280	0.5228546113
281	0.5223955929
282	0.5215076254
283	0.5208364797
284	0.519257844
285	0.5178263241
286	0.5166360655
287	0.5160033065
288	0.5152402739
289	0.5143205116
290	0.5138844596
291	0.51268935
292	0.5113022722
293	0.5103352772
294	0.5097480434
295	0.5091401826
296	0.5084810715
297	0.5078400482
298	0.5072502351
299	0.5063550913
300	0.5059641313
301	0.5050182685
302	0.5040449876
303	0.5023001161
304	0.500406164
305	0.4988876118
306	0.4980869474
307	0.4967695509
308	0.496154875
309	0.4956420333
310	0.4951894898
311	0.4941570038
312	0.4936301589
313	0.4923594545
314	0.491491371
315	0.4908543055
316	0.4901413593
317	0.4894706915
318	0.4889544161
319	0.4881004032
320	0.4867452699
321	0.4855884002
322	0.4849436909
323	0.4839270963
324	0.4825291692
325	0.4817370908
326	0.4807830055
327	0.4801144594
328	0.4793657861
329	0.4783465797
330	0.4778599668
331	0.4769420283
332	0.4764786292
333	0.4755081672
334	0.4744607288
335	0.4735363259
336	0.4724597858
337	0.4719955108
338	0.4711991639
339	0.4702542004
340	0.469584737
341	0.4685897696
342	0.4676081139
343	0.4668342796
344	0.4662882507
345	0.4657133114
346	0.4650259421
347	0.4643855629
348	0.4635580064
349	0.4626271795
350	0.4621557977
351	0.4615558217
352	0.4612119432
353	0.4608718082
354	0.460420239
355	0.4599014628
356	0.4595078938
357	0.4587968474
358	0.4578440083
359	0.4571823536
360	0.4562028085
361	0.4551172979
362	0.4545954488
363	0.4538133606
364	0.453119935
365	0.4522418038
366	0.4514455555
367	0.4509321704
368	0.4504517391
369	0.4497867322
370	0.4489656204
371	0.4483310476
372	0.4478446906
373	0.44666493
374	0.4455476153
375	0.4446352795
376	0.4437103594
377	0.4433006782
378	0.4427036724
379	0.4416836743
380	0.4412335192
381	0.4406105485
382	0.4401142901
383	0.4392016718
384	0.438678624
385	0.4383018521
386	0.4375076499
387	0.4363789652
388	0.43569421
389	0.4350203041
390	0.4345744642
391	0.4333920783
392	0.4328387338
393	0.4321398054
394	0.4315522524
395	0.4305339257
396	0.4300373961
397	0.4292879326
398	0.4285117253
399	0.4279146563
400	0.4269633397
401	0.4260708475
402	0.4252647843
403	0.4247400193
404	0.4240689372
405	0.4233274841
406	0.4227558186
407	0.4219481619
408	0.4211231084
409	0.4202709813
410	0.4193556059
411	0.4189841508
412	0.4180341962
413	0.4173167366
414	0.4165775316
415	0.4160439038
416	0.4155544711
417	0.4151373518
418	0.4143365202
419	0.4138847636
