iter	Passed	Remaining
0	11	23861
1	22	22216
2	32	21386
3	41	20653
4	48	19222
5	55	18600
6	63	18060
7	71	17839
8	79	17593
9	89	17836
10	98	17824
11	107	17790
12	116	17769
13	125	17871
14	134	17819
15	142	17703
16	151	17653
17	159	17592
18	168	17576
19	176	17470
20	184	17377
21	188	16954
22	195	16781
23	201	16604
24	207	16421
25	214	16274
26	218	15969
27	222	15694
28	226	15412
29	230	15136
30	234	14909
31	238	14668
32	242	14438
33	245	14224
34	249	14029
35	253	13835
36	257	13648
37	260	13474
38	264	13310
39	268	13154
40	272	13002
41	275	12859
42	279	12723
43	283	12591
44	286	12463
45	290	12342
46	294	12231
47	299	12164
48	302	12057
49	306	11953
50	310	11854
51	313	11759
52	317	11671
53	321	11584
54	325	11498
55	328	11416
56	332	11343
57	336	11265
58	340	11191
59	343	11121
60	347	11058
61	351	10990
62	355	10925
63	359	10865
64	363	10828
65	370	10869
66	379	10952
67	386	10991
68	396	11093
69	406	11198
70	415	11286
71	425	11406
72	432	11416
73	440	11468
74	448	11505
75	455	11526
76	462	11542
77	470	11595
78	478	11632
79	487	11688
80	493	11697
81	500	11711
82	508	11754
83	517	11800
84	526	11856
85	530	11804
86	534	11755
87	538	11700
88	542	11645
89	546	11588
90	549	11534
91	553	11479
92	557	11427
93	560	11373
94	564	11322
95	568	11272
96	572	11226
97	576	11183
98	579	11136
99	583	11089
100	587	11045
101	591	10999
102	595	10972
103	599	10928
104	603	10886
105	607	10850
106	611	10813
107	614	10771
108	618	10731
109	622	10694
110	626	10665
111	630	10632
112	635	10605
113	642	10630
114	649	10654
115	654	10636
116	658	10605
117	663	10582
118	667	10548
119	671	10513
120	674	10479
121	678	10446
122	682	10412
123	686	10391
124	691	10366
125	700	10413
126	704	10386
127	708	10367
128	713	10349
129	717	10318
130	722	10302
131	725	10270
132	730	10252
133	734	10223
134	739	10211
135	742	10182
136	750	10203
137	757	10223
138	763	10221
139	768	10213
140	773	10193
141	778	10188
142	783	10171
143	789	10170
144	795	10176
145	801	10182
146	807	10177
147	813	10182
148	819	10177
149	825	10182
150	830	10169
151	838	10194
152	849	10259
153	860	10313
154	869	10350
155	878	10388
156	887	10423
157	896	10451
158	905	10488
159	915	10524
160	924	10556
161	933	10586
162	941	10610
163	948	10623
164	953	10604
165	958	10584
166	966	10605
167	973	10620
168	983	10655
169	992	10687
